idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
CN81_E1_31.92_1.9,-2.2773874,-0.7359326,-0.24848716,-0.2215794,-0.07827618,0.6658662,-0.35748082,-0.6168041,0.088300034,0.07172764,-0.17161524,-0.56481963,0.034994774,-0.054506306,0.4730973,0.14704931,-0.048856735,-0.1556387,-0.13796107,-0.24884087,-0.06482085,-0.021709375,0.073815584,-0.155235,0.04079803,-0.17072636,-0.054925464,0.021033693,-0.034105785,-0.08341643,0.00855086,0.14940059,-0.106154636,0.10212831,-0.02109921,-0.060336024,0.07685611,-0.03157032,-0.04073919,-0.080668814,-0.0028630644,-0.02934936,0.018458154,0.036222603,-0.026777536,0.020316117,-0.034512147,0.06470162,0.008419916,-0.036686447
CN81_E1_25_31.94,0.77003783,-0.040272094,-0.540561,-0.009391027,-0.42035013,-0.16862832,-0.018783348,0.15168953,-0.07142368,0.042442877,0.068556234,-0.11897269,-0.121601276,-0.016799517,-0.12161255,-0.058691826,-0.10237558,0.06744208,-0.047620747,-0.013827297,0.06612232,0.1165086,-0.037160397,0.01031476,0.09827061,-0.0417697,-0.03272791,-0.14458661,0.09355651,0.090544805,-0.03237184,0.001947264,-0.008513251,-0.08970399,-0.045711625,-0.012524145,-0.018089812,-0.024872836,0.020416824,-0.030878585,-0.0767736,0.052187666,-0.023715368,0.023903895,-0.022385795,-0.005726364,0.051540002,0.013016434,0.06358294,-0.0076221917
CN81_E1_14.97_5.02,0.3743631,-0.22194746,-0.1715639,-0.49475172,0.17145589,-0.24451166,0.031702753,-0.062491003,-0.13722177,0.16781443,0.06425455,0.11073977,-0.019503407,0.0513677,-0.10198054,-0.10397664,0.049539175,-0.049888797,-0.10933288,0.05555366,0.13455184,-0.016945394,0.00030210428,0.037280098,0.0032307056,0.042528283,0.019280419,-0.01685502,-0.015250169,-0.02910263,0.025423732,-0.040930536,0.07226793,-0.12685117,-0.05086325,0.022207106,-0.07167505,-0.025982482,0.05001074,-0.021457028,0.018557172,0.025600407,0.0107766455,-0.012010652,-0.066249505,0.018268257,-0.028918963,-0.064481266,-0.0368468,0.024452984
CN81_E1_27.97_32.92,0.77707726,0.14288494,-0.37545753,-0.0975801,-0.48049986,-0.24100304,-0.121574685,-0.3720318,-0.060599416,0.007667057,0.06734145,0.054631658,0.030062249,0.022571493,0.043482862,0.05533529,-0.17619143,-0.12428495,-0.12713951,0.007854851,0.041577112,-0.060342938,-0.14271794,0.11242335,0.10730003,-0.045681424,-0.040867325,-0.06936914,0.08058899,-0.0053403354,-0.0021295971,-0.058693375,-0.006009305,-0.0041368376,0.03078064,0.026456866,-0.0812218,0.0048746094,0.025368996,-6.331061e-05,0.027550308,-0.04104791,0.09681265,-0.011841188,0.016286828,-0.023024382,-0.027305694,-0.033553388,0.074713334,-0.0044322377
CN81_E1_10.96_9.87,1.3638612,-0.41144815,-0.4771973,-0.05960521,-0.06352017,0.010527575,-0.24466184,0.20149624,-0.17307153,-0.021352377,-0.02440659,-0.2881309,0.11985528,-0.05924519,-0.19836445,0.1854151,-0.010225985,-0.10373459,-0.020138647,-0.008902153,0.11291006,-0.07660025,0.11504087,0.0018182623,-0.040009692,0.14058083,-0.12997858,0.05590979,0.09686979,-0.0426616,-0.039639127,-0.08086344,0.0039066537,-0.065971226,-0.104116514,0.10067293,0.09590366,-0.070952624,0.013048589,-0.08418322,0.06892434,-0.02283642,-0.028976938,-0.0537149,0.075283274,-0.017666372,-0.12560472,-0.061573,-0.023712806,-0.052617077
CN81_E1_12.07_9.08,0.48195997,-0.18034701,-0.6305068,0.03565816,-0.35338783,-0.04416712,-0.1359531,-0.1389517,-0.31526005,0.017846335,0.21975328,0.058672685,0.06700571,0.007011797,-0.14550167,-0.19975013,0.008350136,0.021197163,0.050720565,0.10644976,-0.016667062,-0.046700537,0.045869097,0.085266896,0.037796184,-0.038162895,0.03311531,-0.0468002,-0.068313174,-0.005765153,-0.06170343,0.05601801,-0.067286566,0.011834502,-0.013714568,-0.034939773,-0.0286767,0.054931894,-0.036528535,-0.0705878,-0.029213049,0.030169174,0.035838738,-0.07342505,-0.05716919,-0.023777664,0.012044977,-0.020891782,-0.022030357,0.053575452
CN81_E1_30.01_23.87,-1.8359933,-0.40446165,-1.0846916,0.7580853,-0.22186872,0.541408,-0.37745544,0.11368161,0.0035289656,0.097687244,0.031185206,0.11025884,-0.29236257,-0.03847451,0.008341193,-0.17883065,0.2105751,0.05674216,0.12331989,-0.0848498,0.07448884,0.25013715,-0.16422053,0.039650034,-0.07308621,-0.071372606,-0.10424867,0.031265363,0.06424044,0.09894542,-0.07988815,0.092585035,0.014652106,-0.049443424,-0.055505253,-0.07369581,-0.03333588,0.0031772172,-0.009658793,-0.08204712,-0.05098346,0.040536556,0.0651906,0.13201988,-0.02131917,0.05797875,0.035294447,0.026881382,0.0023101857,-0.011804001
CN81_E1_15.96_2.95,-2.4738207,0.0462993,-0.627246,0.46528795,0.103536546,-0.0343124,0.041939445,-0.124914624,-0.10846551,-0.14165987,-0.050616756,0.0899008,-0.20214571,0.035801712,-0.059701193,0.11196282,0.053682614,0.09156222,-0.13057536,-0.05812631,0.13464883,0.029722843,-0.010804901,-0.050556026,-0.051139176,0.070799306,0.124182776,-0.046745647,-0.07206466,-0.008436853,0.044242755,0.019413218,0.030586427,-0.048597816,0.015078075,-0.035866205,0.026628662,0.0470681,-0.028968748,0.049813423,0.0049982322,-0.01974935,0.019781204,-0.010549029,0.007663428,-0.013305012,-0.021265604,-0.0060933046,0.04311081,0.056571722
CN81_E1_8.99_4.98,2.5956502,-0.8778457,-0.22601107,0.29213247,0.6838968,0.3479839,-0.14240484,0.17465678,0.018746888,-0.028316306,-0.41560942,0.0113759395,0.086771265,-0.049121127,-0.22046693,0.06469584,-0.11611014,0.10836295,-0.1759316,0.040844418,0.011455705,-0.17695689,0.10142722,0.20848495,-0.08284175,-0.058654606,-0.022557482,0.20661083,0.103823915,-0.103041545,-0.22226906,-0.22276165,0.04767684,-0.11724701,-0.11631343,0.050924487,0.036222138,-0.077024676,-0.06180485,0.04271429,-0.046179537,0.01568468,-0.006488461,-0.14778188,0.063695036,0.07344128,-0.022475932,0.068223625,0.0038853735,0.046036795
CN81_E1_9.07_28.91,1.1071367,-0.41170436,-0.3700981,-0.1991854,0.017389413,0.09775531,-0.28034517,0.08288592,-0.21571931,0.15240358,0.087390855,0.023055144,-0.11835163,0.03943298,-0.15224698,-0.20642503,-0.12558748,-0.006792469,-0.11197377,0.016533816,-0.018585354,0.030143071,-0.09960383,-0.019935004,-0.0732314,-0.058266398,-0.04301971,0.0026767962,-0.018701898,-0.0028697383,-0.0034578547,0.0060521937,-0.10507554,-0.071664184,-0.07432102,-0.10509108,-0.05306442,0.02141307,0.07372294,0.0026068343,-0.00980518,-0.027840331,-0.010327161,-0.046735235,-0.06924274,0.01207695,-0.036707588,-0.02781387,-0.06252101,0.060004484
CN81_E1_10.99_27.9,1.4750841,-0.47834057,-0.51062846,0.21210359,-0.26702827,-0.25505364,0.1591788,-0.013393266,0.0048949197,0.06506607,-0.12678793,-0.12916715,-0.13402756,-0.20561893,-0.14550672,-0.15346237,-0.055547953,-0.11832866,-0.13287227,-0.011704301,-0.12678461,-0.11943853,0.08966394,0.017833643,-0.0866533,0.08074847,0.014792869,0.1257725,-0.034287658,0.040544946,0.019055,-0.016669402,0.07407717,-0.053212903,-0.017942965,-0.028678302,-0.057356637,0.01857517,-0.041163087,-0.005523473,-0.05252516,0.03579872,0.0068935095,-0.008303646,-0.02305353,0.0020094346,0.040020496,0.04384763,0.035181586,0.009775996
