,0,1,2,3,4
Rps8,0.01809511,0.03468127,0.0052620745,-0.057963766,-0.0032300197
Hspa8,0.014949687,0.023551494,-0.03837876,-0.014149411,-0.022415696
Pura,0.0020573363,0.06694686,-0.022004345,-0.055676576,-0.010558371
Cltc,0.026504876,0.009963271,-0.0076807356,-0.030923866,-0.017776733
Rpl23,0.03319392,0.0092668235,-0.0032018942,-0.024721337,-0.020279689
Rpl13,0.02281892,0.028553985,-0.02592777,-0.008312578,-0.0070106294
Tspan7,-0.014256636,0.091331206,-0.048363883,-0.069166094,-0.039277893
Dpysl2,0.050302293,-0.011317877,0.008810123,-0.0051610307,-0.012724649
Gnai2,0.021784956,-0.01714785,-0.0065111257,-0.041319516,-0.025499031
Ubc,0.05500802,-0.010551781,0.030667981,-0.023223335,-0.008102721
Rpl9,0.0070442944,0.053679124,-0.008582931,-0.06932117,-0.019995695
Laptm4a,0.03351148,0.01583266,-0.014094022,-0.0020365308,-0.0058541433
Map2,0.0043559107,0.02740681,-0.040795464,-0.03017771,-0.019320603
Atp5k,0.019317936,0.01176625,-0.019399894,-0.025436921,-0.011586219
Slc25a5,0.04007905,0.034312256,0.011556945,-0.014662089,0.01482543
Atp6v1a,0.008297638,0.036390927,-0.035668943,-0.035208944,-0.029059537
Hint1,0.035567313,0.019891428,0.0023552224,-0.011469197,0.012667063
Cox7a2,0.023204332,0.023996709,-0.031253595,-0.008711798,-0.02270879
Slc25a3,0.017778045,0.011519061,-0.018747712,-0.02532928,-0.0041314084
Cox5a,0.016129905,0.05519503,-0.016883006,-0.03272609,-0.0041095144
Rps25,0.030294148,-0.009786621,-0.012726168,-0.014376608,-0.016498016
Glud1,0.020490896,-0.008009479,-0.021556636,-0.033184342,-0.038357496
Scd1,0.010758688,-0.002250407,-0.028772013,-0.026067168,-0.01062808
Serpine2,0.0057081487,-0.00848955,-0.029556202,-0.03944489,-0.0204896
Rps15a,0.03305285,0.049536817,0.018567845,-0.037628327,0.0126711475
Pfn2,0.032228824,0.10724357,0.02124233,-0.03827243,0.031403966
Mrfap1,0.0046131704,0.038971443,-0.0146625005,-0.045958564,0.013319742
Stmn2,0.012463211,0.015303895,-0.039073523,-0.018441794,-0.024872184
Uqcrq,0.0111291325,-0.012498538,-0.049145646,-0.004550102,-0.022086993
Atp2a2,0.013662556,-0.0249961,-0.044333227,-0.013872229,-0.035776556
Rpl14,0.02543097,-0.013358173,-0.028739627,-0.010165902,-0.030518448
Gsn,0.02744145,0.039852824,-0.01740361,-0.007760651,-0.0058664097
Pgk1.rs7,0.052205577,0.010327462,0.029995192,-0.020608405,0.004607457
Lrrc58,0.024808904,-0.011390084,-0.027277468,-0.011553058,-0.02979739
Tsc22d4,0.030305084,-0.035036784,-0.011787883,-0.021646151,-0.03278862
Ppp1cb,0.028199473,-0.009150533,-0.0021468971,-0.02701281,-0.004392302
Ctnnb1,0.01999839,-0.003928524,-0.020976853,-0.0059591304,0.015190441
Map1a,0.02405709,0.0065076137,-0.025459344,-0.0028248641,-0.0026161736
Wdr89,0.021511283,-0.02063185,-0.004894515,-0.04080604,-0.019529032
Itm2c,0.023357613,0.023682455,-0.013829886,-0.012263944,0.011916369
Tcf25,0.025420768,0.035249922,-0.0067600147,-0.008778206,0.033255205
Gpm6a,-0.0036258607,0.07125678,-0.024760898,-0.064903535,-0.014061253
C4b,0.025484148,0.02321166,-0.014684126,-0.016756475,-0.014478532
Rps17,0.01517812,0.005489468,-0.031241456,-0.013614857,-0.006513051
Purb,0.025260132,-0.00018540602,-0.018079396,-0.0111861415,-0.0049088607
Ywhah,0.011060956,0.03665838,-0.019639656,-0.029202567,0.01127719
Prdx1,0.024198078,0.0008385962,-0.009103631,-0.016911915,0.0064934916
Eif4a2,0.044534683,0.021724472,0.011234662,-0.009308343,0.009631063
Scg5,0.011569336,0.023630902,-0.033482324,-0.016407993,-0.0024343247
Tubb2a,0.025842447,0.036086153,0.00065081817,-0.033625323,-0.0023697636
Nedd4,0.016309816,-0.025405739,-0.019554598,-0.032786135,-0.021369101
Csrp1,0.028372793,0.008239735,-0.009092582,-0.023573043,-0.017877787
Stmn3,-0.01187761,0.18169758,-0.013247297,-0.10196124,-0.0178756
Hnrnpa2b1,0.012844868,0.014522344,-0.023529077,-0.022849414,0.004122556
Serinc3,0.028170284,-0.003618526,-0.026171718,0.005212775,-0.0077379304
Gm10073,0.011148275,0.00836926,-0.032994017,-0.022845278,-0.018424388
Sec62,0.031187683,0.018976174,-0.0050048158,-0.016872022,-0.0065080617
Hexb,0.015445738,0.0028200601,-0.01753799,-0.027690941,-0.0027773646
Pafah1b1,0.021167649,0.0036546113,-0.0021924707,-0.033396367,0.009997781
Cd63,0.0206157,0.0018049069,-0.02308002,-0.014434182,-0.012887735
Pink1,0.02321443,-0.011730094,-0.020942949,-0.016217658,-0.015215303
Rps26,0.012828273,-0.018732626,-0.030887993,-0.020758705,-0.014633928
Rpl8,0.023256963,0.0167013,-0.01892421,-0.0196315,-0.017926587
Tmem30a,0.026673945,-0.0062903245,0.005366115,-0.045993365,-0.017009007
Gatm,0.037666295,0.02142497,0.017804272,-0.033947524,-0.0010210495
Stxbp1,0.01088121,0.034426004,-0.021189867,-0.04244863,-0.016056981
Gpr37l1,0.022582652,-0.0029337266,0.0008038442,-0.04418859,-0.012689039
Pcbp2,0.018369181,0.010306357,-0.017774077,-0.02673706,-0.009011271
Gabarap,0.021589072,0.02161132,-0.014928132,-0.01674338,0.0041994066
Uqcrh,0.017770283,0.02551213,-0.01511466,-0.018182617,0.017536853
Hnrnpk,0.013822425,0.013515829,-0.024866117,-0.014042353,0.0143727865
Bnip3l,0.03425484,-0.012628262,-0.007808568,-0.0054410663,-0.0039889226
X__ambiguous.Gm20425.Trf,0.01639346,-0.01709928,-0.016492309,-0.026322939,-0.003239982
Ddx5,0.019851647,-0.0057824305,-0.02038512,-0.020031441,-0.0105914865
Ctss,-0.0057730884,-0.03829339,-0.05418632,-0.040638722,-0.050771814
Aes,0.02377315,0.034414973,-0.015660001,-0.021004945,-0.009461001
Pja2,0.022105379,-0.0033221222,-0.014606457,-0.004877187,0.028123118
Slc38a2,0.0114508355,0.011234926,-0.029851826,-0.021878509,-0.009568621
Chchd10,-0.0035575852,0.02640541,-0.03160688,-0.055822294,-0.020858712
Prkacb,0.017013159,0.020818079,-0.02017731,-0.03360427,-0.02144282
Rplp2,0.010116788,-0.013810255,-0.03710974,-0.024542203,-0.02823688
Tulp4,0.014344166,-0.007584209,-0.021777907,-0.01556214,0.012946009
Map4,0.034914203,-0.008528194,0.000862747,-0.01584718,9.639326e-05
Cxx1a,0.017729962,0.01711636,-0.017338013,-0.029627064,-0.00938754
Rab2a,0.014020787,-0.012626172,-0.030286338,-0.019558191,-0.016366813
Nacc2,0.010659249,0.012336844,-0.017525537,-0.035617504,0.0006512043
Gm7808,0.025057549,-0.0044475296,-0.012722174,-0.006425085,0.015427007
Rab3a,0.013233721,0.027505433,-0.011705055,-0.035728987,0.008988906
Rps5,0.028167283,-0.017722381,-0.009666002,-0.017162435,-0.009800883
Bsg,0.019503595,-0.0055378857,-0.034417104,-0.0014953782,-0.010577879
Ahcyl1,0.010389349,0.018104699,-0.03501861,-0.013837143,0.0007021462
Rack1,0.024423465,0.024240384,9.998228e-05,-0.034100033,-0.00063043134
Kif5a,0.026801834,0.002167776,-0.016134927,-0.004565901,0.0068375003
Elavl3,0.017245036,-0.015573367,-0.01900529,-0.03438378,-0.027259257
Abat,0.030272236,0.051497925,0.0056480654,-0.029246772,0.0064921477
Slc6a1,0.015228076,0.017984087,-0.03463266,-0.007670352,-0.0047852043
Cox6b1,0.031002609,0.028154941,0.014161057,-0.04426576,-0.004148523
Cntn1,0.023021728,0.037782796,-0.00428727,-0.035868187,-0.006374493
Ank2,0.020473698,0.019876275,-0.015479068,-0.021651983,-0.0031305356
Cdc42,0.021574978,-0.011969733,-0.0164664,-0.016408386,-0.0018122852
Uqcr10,0.013006254,-0.0031511232,-0.022390062,-0.023437072,0.0053297156
Rpl35,0.03154093,-0.007537416,-0.0065795984,-0.0053531392,0.009835764
Cnn3,0.028663881,0.024300637,-0.016277758,-0.0060327253,-0.007369725
Ndufa3,0.006615191,-0.001831165,-0.03878396,0.010399527,0.04890759
Sez6l2,0.0138155185,-0.008582126,-0.026692616,-0.0155075425,0.002634844
Atp5j,0.022522375,0.005802642,-0.018390657,-0.018489035,-0.007182591
Atp5d,0.025987951,-0.011901222,-0.008601183,-0.013877081,0.010380457
Vcp,0.007190619,-0.012366996,-0.03501586,-0.01669981,0.00032240196
Tubb4a,0.01656993,-0.0040004686,-0.037862677,-0.004907563,-0.016986119
X7.Sep,0.026533587,0.00399045,-0.008081554,-0.0071884724,0.01968748
Rps12,0.024182426,0.009755452,0.014290691,-0.06669042,-0.025836382
Agt,0.013339569,-0.01630646,-0.021660933,-0.030061474,-0.014078153
Basp1,0.022905363,0.019193845,-0.0059698094,-0.019248717,0.016727226
Atp5j2,0.004628617,0.0042924373,-0.050513092,-0.015213037,-0.02216592
Ywhaq,0.018883945,0.0010297608,-0.01703103,-0.007462938,0.026896875
Mbnl2,0.024315095,0.034938436,-0.016015237,-0.011319458,0.004500589
Ank3,0.012885629,-0.001320618,-0.021194495,-0.026346423,-0.00033855793
Atp5e,0.021273412,0.0059980704,-0.016887708,-0.0119236205,0.009355474
Arl6ip1,-0.0006146424,-0.028113855,-0.047966447,-0.013806325,0.0006065454
Rhob,0.027058251,0.0069624344,0.008545574,-0.043655954,-0.0055384296
Mpc1,0.015045553,0.009800175,-0.021619363,-0.023955936,-0.0007960065
Slc4a4,0.018388163,-0.013192265,-0.03259575,-0.0032715052,-0.006762188
Eef1a2,0.006347242,0.030449117,-0.034004938,-0.016983606,0.012012103
Aplp2,0.02425913,-0.0013164553,-0.0032583368,-0.03546868,-0.013959295
Grina,0.013153389,-0.0079605095,-0.040508047,-0.004602384,-0.008300799
Rps28,0.013719703,-0.01571024,-0.024080275,-0.016740344,0.004037239
Rab6b,0.024110498,0.032192472,-0.005865884,-0.032409962,-0.009716495
Ndufb8,0.030304134,0.009500538,0.008461792,-0.032515097,0.0033766301
Clstn1,0.022510383,0.017076904,-0.011063897,-0.022716453,-0.0007380387
Ndufa2,0.021555837,0.036251158,-0.007886549,-0.027354153,0.0053331465
Ppp2ca,0.020660536,-0.003596275,-0.0041630547,-0.030470327,0.009191708
Rpl10,0.017145876,-0.012552397,-0.030518023,-0.005006309,0.00056885206
Gnb1,0.016161228,0.00065702747,-0.0141086625,-0.023040133,0.010942047
Rps13,0.02287253,0.031889673,-0.007939944,-0.03456266,-0.016511906
Oaz1,0.017944114,-0.010600001,-0.01693967,-0.021762267,-0.0009276173
Tpi1,0.00438753,0.0052512763,-0.043961737,-0.013615162,-0.005348799
Olig1,0.021368867,0.004371286,-0.020402655,-0.017760353,-0.013462526
Nsf,0.017249152,0.050394595,-0.013371205,-0.042907633,-0.020174846
