,0,1,2,3,4
UBA52,-0.0009306486,-0.0392407,-0.0024186776,-0.063151784,-0.025225716
SPARC,-0.013529352,-0.03712471,0.007705089,-0.035540983,0.0029835626
POLR2L,-0.019533701,-0.02281279,0.015317629,-0.050182194,0.010555852
RPL22,-0.0147542935,-0.054412995,-0.004129582,-0.044551197,-0.018351458
CRABP2,-0.04889872,-0.013843835,0.021452522,-0.06826708,0.02713591
COX7C,0.0035316828,-0.036049135,-0.005582075,-0.045145243,-0.014092507
PFN1,-0.041171197,-0.024323808,0.010136912,-0.06080455,0.016367035
S100A13,-0.027041415,-0.026412873,0.007644995,-0.061667684,0.00463644
RPS20,-0.05376192,-0.027033132,0.009981524,-0.056466464,0.023703525
COX6A1,-0.05587943,-0.01887306,0.0117076915,-0.057587773,0.03288129
PPDPF,-0.08277304,-0.0526121,0.0136846425,-0.04537471,0.02741355
PTMA,-0.03282843,-0.04545024,-0.011299023,-0.050747365,-0.0025112599
UBC,-0.08915823,-0.004926742,0.022837417,-0.056696136,0.06701942
CD63,-0.003982677,-0.033247996,0.013543325,-0.027768275,0.0057462063
COX6C,-0.018328464,-0.027282104,0.01405441,-0.028468953,0.0191746
RPSA,-0.044952985,-0.016026167,0.0067477464,-0.045534078,0.034788985
FXYD3,-0.036085412,-0.03503247,-0.00096429314,-0.041135747,0.015374289
CYP4Z1,-0.03758786,-0.04226726,-0.00043686392,-0.038636852,0.010256332
UQCR11,-0.042303868,-0.019953648,0.014448304,-0.04336519,0.031465065
CTSD,-0.024816308,-0.027897796,0.0033879608,-0.041556798,0.0142898355
XBP1,-0.00925936,-0.04484928,0.01671833,-0.018945398,0.0049244957
TSTD1,-0.024492808,-0.026602691,0.005727973,-0.035291962,0.019086694
LGALS1,-0.033597603,-0.026370265,0.008734961,-0.044255044,0.019813696
RPL5,-0.047242004,-0.015324603,0.0111578535,-0.036772627,0.043227933
DBI,-0.017360128,-0.032393422,0.0126138665,-0.034629606,0.010963216
CD9,0.0026768697,-0.049100723,0.0061771693,-0.013944386,-0.00405309
EEF1D,-0.03177965,-0.03654903,0.001628651,-0.037943456,0.013297311
RHOB,0.009891754,-0.051493976,-0.0040836185,-0.022326857,-0.016369184
PFDN5,-0.04002355,-0.01764612,0.014469725,-0.043989502,0.0319863
GPX4,-0.0362083,-0.020494744,0.015541848,-0.046122987,0.025928443
HINT1,-0.00932875,-0.053697653,-0.016457036,-0.0254663,-0.009920736
RPL27A,-0.036371414,-0.051957026,-0.013689549,-0.02928439,0.0069229715
